code,name,prev_shares,curr_shares,delta,status
2455,全新,0,2827000,2827000,NEW
3105,穩懋,0,2033000,2033000,NEW
3711,日月光投控,0,1640000,1640000,NEW
2327,國巨*,0,1600000,1600000,NEW
6584,南俊國際,0,1485000,1485000,NEW
2337,旺宏,0,1465000,1465000,NEW
8046,南電,0,1058000,1058000,NEW
2368,金像電,0,669000,669000,NEW
3665,貿聯-KY,0,667000,667000,NEW
6274,台燿,0,636000,636000,NEW
4991,環宇-KY,0,574000,574000,NEW
3583,辛耘,0,567000,567000,NEW
8021,尖點,0,518000,518000,NEW
8299,群聯,0,489000,489000,NEW
3189,景碩,0,486013,486013,NEW
3260,威剛,0,393000,393000,NEW
7751,竑騰,0,384000,384000,NEW
3081,聯亞,0,380000,380000,NEW
2308,台達電,0,357000,357000,NEW
2059,川湖,0,323000,323000,NEW
3661,世芯-KY,0,293000,293000,NEW
6510,精測,0,272000,272000,NEW
6531,愛普*,0,271000,271000,NEW
6139,亞翔,0,259000,259000,NEW
2360,致茂,0,207000,207000,NEW
3653,健策,0,197000,197000,NEW
5289,宜鼎,0,157000,157000,NEW
6515,穎崴,0,151000,151000,NEW
6805,富世達,0,112000,112000,NEW
7769,鴻勁,0,100000,100000,NEW
6442,光聖,0,80000,80000,NEW
7734,印能科技,0,59000,59000,NEW
3533,嘉澤,0,48000,48000,NEW
3491,昇達科,0,47000,47000,NEW
5274,信驊,0,30000,30000,NEW
2330,台積電,1761000,1761000,0,SAME
2345,智邦,1012000,1012000,0,SAME
2383,台光電,636000,636000,0,SAME
2454,聯發科,412000,412000,0,SAME
3017,奇鋐,651000,651000,0,SAME
3037,欣興,2902000,2902000,0,SAME
3443,創意,360000,360000,0,SAME
6223,旺矽,339000,339000,0,SAME
6669,緯穎,400000,400000,0,SAME
8996,高力,1674000,1674000,0,SAME
