code,name,weight,shares
2330,台積電,7.0,806000
2383,台光電,4.35,323000
2345,智邦,4.01,531000
6515,穎崴,3.68,111000
6223,旺矽,3.59,196000
3017,奇鋐,3.51,370000
3037,欣興,3.36,1277000
3163,波若威,3.3,676000
3105,穩懋,3.26,1716000
3533,嘉澤,3.25,343000
8299,群聯,3.18,434000
6442,光聖,3.03,310000
8996,高力,3.02,715000
2059,川湖,2.83,191000
2360,致茂,2.71,370000
7769,鴻勁,2.66,142000
8046,南電,2.5,858000
7751,竑騰,2.44,285000
2408,南亞科,2.34,2432000
6669,緯穎,2.31,146000
6510,精測,2.21,142000
4749,新應材,1.99,526000
8358,金居,1.97,1728000
6805,富世達,1.89,219000
3653,健策,1.76,100000
3081,聯亞,1.73,185000
6584,南俊國際,1.58,566000
5274,信驊,1.55,29000
5347,世界,1.29,2277000
3131,弘塑,1.28,87000
4991,環宇-KY,1.12,511000
3036,文曄,1.01,947000
2368,金像電,0.98,227000
2308,台達電,0.96,135000
3665,貿聯-KY,0.93,100000
6781,AES-KY,0.89,198000
3529,力旺,0.87,67000
2486,一詮,0.83,1230000
6531,愛普*,0.81,367000
3189,景碩,0.77,457013
3661,世芯-KY,0.75,59000
6274,台燿,0.73,230000
3443,創意,0.73,66000
8021,尖點,0.71,569920
3491,昇達科,0.54,71000
2337,旺宏,0.43,671000
5289,宜鼎,0.41,90000
3324,雙鴻,0.4,93000
3711,日月光投控,0.39,236000
3260,威剛,0.39,231000
2344,華邦電,0.28,663000
2449,京元電子,0.21,166000
