code,name,weight,shares
2330,台積電,8.07,1761000
2383,台光電,6.34,636000
3037,欣興,5.96,2902000
2345,智邦,4.79,1012000
6669,緯穎,4.24,400000
6223,旺矽,3.93,339000
8996,高力,3.55,1674000
2454,聯發科,3.46,412000
3017,奇鋐,3.38,651000
3443,創意,3.27,360000
2059,川湖,3.18,323000
3665,貿聯-KY,2.71,667000
6515,穎崴,2.55,151000
3661,世芯-KY,2.52,293000
8299,群聯,2.45,489000
2455,全新,2.32,2827000
2327,國巨*,2.3,1600000
6584,南俊國際,2.15,1485000
3105,穩懋,2.09,2033000
6274,台燿,2.09,636000
3711,日月光投控,1.95,1640000
3081,聯亞,1.93,380000
8046,南電,1.75,1058000
2368,金像電,1.72,669000
2308,台達電,1.7,357000
6510,精測,1.66,272000
7769,鴻勁,1.61,100000
3653,健策,1.36,197000
7751,竑騰,1.32,384000
5274,信驊,1.11,30000
2360,致茂,1.02,207000
3583,辛耘,0.96,567000
4991,環宇-KY,0.82,574000
3189,景碩,0.69,486013
6531,愛普*,0.63,271000
5289,宜鼎,0.55,157000
2337,旺宏,0.47,1465000
8021,尖點,0.45,518000
6805,富世達,0.42,112000
7734,印能科技,0.42,59000
6139,亞翔,0.4,259000
3260,威剛,0.32,393000
6442,光聖,0.29,80000
3533,嘉澤,0.25,48000
3491,昇達科,0.2,47000
