code,name,shares,weight
2330,台積電,1406000,7.71
2059,川湖,293000,6.86
3017,奇鋐,1002000,6.83
3665,貿聯-KY,1161000,6.38
2345,智邦,1080000,6.04
2383,台光電,466000,5.73
3037,欣興,2497000,5.63
3008,大立光,520000,5.58
6223,旺矽,326000,4.76
8996,高力,1630000,4.29
2454,聯發科,406000,3.69
3231,緯創,7662000,3.37
6584,南俊國際,2231000,2.59
8021,尖點,2501000,2.42
2455,全新,2753000,2.38
1303,南亞,5445000,2.25
3711,日月光投控,1629000,2.25
3443,創意,211000,2.19
6187,萬潤,801000,2.18
3661,世芯-KY,215000,1.82
8299,群聯,366000,1.72
3189,景碩,840013,1.66
1815,富喬,6277000,1.26
2308,台達電,300000,1.17
4958,臻鼎-KY,1000000,1.12
6669,緯穎,77000,1.12
7751,竑騰,270000,0.88
6515,穎崴,42000,0.66
6139,亞翔,250000,0.48
6805,富世達,109000,0.44
7734,印能科技,56000,0.44
2337,旺宏,1343000,0.4
5289,宜鼎,98000,0.37
3260,威剛,358000,0.35
3583,辛耘,147000,0.25
5347,世界,629000,0.22
3264,欣銓,72000,0.04
