code,name,shares,weight
2330,台積電,1406000,8.43
2383,台光電,563000,6.94
2059,川湖,293000,5.81
2345,智邦,977000,5.52
3017,奇鋐,1002000,5.27
6223,旺矽,326000,5.12
8996,高力,1630000,4.75
3037,欣興,2097000,4.54
3008,大立光,420000,4.44
3665,貿聯-KY,955000,4.2
2327,國巨*,2066000,3.98
6584,南俊國際,2231000,3.71
2454,聯發科,406000,3.68
6187,萬潤,1220000,2.98
2303,聯電,7000000,2.62
3711,日月光投控,1629000,2.59
8299,群聯,445000,2.26
2455,全新,2753000,2.15
3443,創意,211000,2.1
6182,合晶,4500000,2.08
3661,世芯-KY,215000,1.99
8021,尖點,1501000,1.81
6515,穎崴,99000,1.73
6488,環球晶,394000,1.48
3583,辛耘,566000,1.07
7751,竑騰,368000,1.04
3026,禾伸堂,459000,0.93
3189,景碩,440013,0.88
6139,亞翔,250000,0.52
2337,旺宏,1343000,0.46
3363,上詮,300000,0.43
7734,印能科技,56000,0.38
3260,威剛,358000,0.36
6805,富世達,109000,0.36
5289,宜鼎,98000,0.35
3264,欣銓,72000,0.04
3491,昇達科,1000,0.0
